TimeStamp,AskPrice,AskSize,BidPrice,BidSize
34200,27.49,6327,27.48,5100
34500,27.41,3700,27.4,12218
34800,27.36,1800,27.35,7522
35100,27.37,9062,27.36,4171
35400,27.38,15652,27.37,2062
35700,27.35,4470,27.34,3337
36000,27.25,13480,27.24,2600
36300,27.25,12091,27.24,4935
36600,27.33,6700,27.32,24103
36900,27.34,6990,27.33,5924
37200,27.33,16776,27.32,10093
37500,27.35,3873,27.34,21489
37800,27.38,11307,27.37,4424
38100,27.36,7758,27.35,17446
38400,27.44,5825,27.43,20706
38700,27.45,9379,27.44,10903
39000,27.47,11192,27.46,5718
39300,27.39,11170,27.38,8144
39600,27.35,12047,27.34,6270
39900,27.28,13867,27.27,360
40200,27.22,15148,27.21,2780
40500,27.21,9811,27.2,8840
40800,27.23,15809,27.22,95540
41100,27.2,11352,27.19,22174
41400,27.22,9174,27.21,15616
41700,27.21,15720,27.2,27632
42000,27.18,10886,27.17,15713
42300,27.16,12913,27.15,9082
42600,27.15,15290,27.14,8785
42900,27.18,6942,27.17,16521
43200,27.15,3541,27.14,11932
43500,27.14,11413,27.13,6492
43800,27.13,10413,27.12,9979
44100,27.13,6710,27.12,16199
44400,27.09,14902,27.08,6610
44700,27.0,12077,26.99,5812
45000,26.97,11581,26.96,16711
45300,26.99,10170,26.98,11010
45600,26.96,6416,26.95,14808
45900,26.95,9642,26.94,8900
46200,26.92,12279,26.91,7245
46500,26.94,15800,26.93,25758
46800,26.94,5615,26.93,22129
47100,26.96,9198,26.95,14472
47400,26.94,18704,26.93,9945
47700,26.91,14360,26.9,16650
48000,26.93,24400,26.92,2888
48300,26.91,15482,26.9,5800
48600,26.9,24189,26.89,9613
48900,26.83,17247,26.82,4469
49200,26.81,19391,26.8,9381
49500,26.8,13927,26.79,11431
49800,26.84,17257,26.82,33153
50100,26.83,15691,26.82,10241
50400,26.79,10789,26.78,30724
50700,26.81,22101,26.8,29053
51000,26.81,16105,26.8,16040
51300,26.81,23295,26.8,7620
51600,26.8,14908,26.79,18358
51900,26.84,13441,26.83,33595
52200,26.81,18172,26.8,13472
52500,26.82,9101,26.81,24371
52800,26.84,9753,26.83,23011
53100,26.85,12965,26.84,16962
53400,26.84,11838,26.83,16179
53700,26.85,11555,26.84,18936
54000,26.83,8874,26.82,7725
54300,26.84,20149,26.83,38295
54600,26.81,16261,26.8,18286
54900,26.72,13115,26.71,23684
55200,26.71,11548,26.7,15025
55500,26.73,24830,26.72,30609
55800,26.67,12972,26.66,6104
56100,26.73,25364,26.72,11256
56400,26.7,14245,26.69,19159
56700,26.63,21600,26.62,43790
57000,26.7,16745,26.69,67220
57300,26.72,88204,26.71,3391
