Symbol,IssuerName,LastPrice,MarketCap($BLN),Avg3MVol(M),EPS_Est_Next_Year,Forward P/E,DivPaymentDate,ExDivDate,Div/Share,ForwardAnnualDivRate,ForwardAnnualDivYield,TrailingAnnualDivRate,TrailingAnnualDivYield,Price/Book
HON,Honeywell International,221.69,153.055,2.845,9.2,24.1,2-Sep-21,12-Aug-21,3.69,3.72,1.69%,3.69,1.68%,8.53
UPS,United Parcel Service,193.35,168.416,2.826,11.7,16.53,8-Sep-21,20-Aug-21,4.06,4.08,2.14%,4.06,2.13%,15.6
UNP,Union Pacific Corporation,204.25,133.196,2.904,11.28,18.11,29-Sep-21,30-Aug-21,3.98,4.28,2.10%,3.98,1.96%,9.32
BA,Boeing ,214.22,125.565,10.79,6.07,35.29,5-Mar-20,13-Feb-20,0,0,0,0,0,-7.52
RTX,Raytheon Technologies Corporation,84.87,127.974,4.646,5.04,16.84,8-Sep-21,19-Aug-21,1.94,2.04,2.47%,1.93,2.34%,1.8
CAT,Caterpillar ,205.73,112.631,3.627,12.46,16.51,19-Aug-21,19-Jul-21,4.12,4.44,2.19%,4.2,2.08%,6.69
GE,General Electric,102.16,112.137,8.365,4.33,23.59,24-Oct-21,24-Sep-21,0.32,0.32,0.31%,0.32,0.32%,3.35
MMM,3M Co.,184.19,106.579,2.317,10.78,17.09,11-Sep-21,20-Aug-21,5.9,5.92,3.25%,5.9,3.23%,7.38
DE,Deere & Co.,359.77,111.551,1.656,22.3,16.13,7-Nov-21,29-Sep-21,3.32,4.2,1.18%,3.32,0.93%,7.09
LMT,Lockheed Martin Co.,345.07,95.555,1.118,27.98,12.33,23-Sep-21,31-Aug-21,10.2,10.4,3.02%,10.2,2.96%,14.6
